iter	RMSE
0	1.330053572
1	1.280498714
2	1.233578797
3	1.189547143
4	1.147995346
5	1.109524573
6	1.073211891
7	1.038547056
8	1.006192153
9	0.9757589429
10	0.9474300535
11	0.920991723
12	0.8960089524
13	0.8725891753
14	0.8511285914
15	0.830273247
16	0.8113153775
17	0.7935952787
18	0.7769417581
19	0.7613277953
20	0.7472259989
21	0.7333773857
22	0.7208111135
23	0.7091615461
24	0.6984968728
25	0.6888435125
26	0.6796667761
27	0.6711648403
28	0.663165137
29	0.6559669253
30	0.649280467
31	0.6428187194
32	0.6367546804
33	0.6310336135
34	0.6257337143
35	0.6211791483
36	0.6165133036
37	0.6122512287
38	0.6086042743
39	0.6052111341
40	0.6018446834
41	0.5985450095
42	0.595144164
43	0.592501396
44	0.5901244913
45	0.5878122248
46	0.5857024633
47	0.5835646802
48	0.5817163732
49	0.5800158164
50	0.5784315427
51	0.5770092975
52	0.5753300915
53	0.5736947853
54	0.5720692919
55	0.5705644051
56	0.5693261311
57	0.5680388168
58	0.5666941384
59	0.5656781888
60	0.5645488175
61	0.563682046
62	0.5627499326
63	0.561841245
64	0.5610994358
65	0.5600047003
66	0.55916804
67	0.5581232392
68	0.5574284097
69	0.5566353595
70	0.5557811271
71	0.5552119734
72	0.5544878077
73	0.5534578167
74	0.552913359
75	0.55228113
76	0.5515858565
77	0.5510282063
78	0.5503719852
79	0.5495470814
80	0.5489717823
81	0.5484149956
82	0.5475938588
83	0.5470419688
84	0.5463690396
85	0.5455865196
86	0.5448224165
87	0.544398481
88	0.5440395463
89	0.5434583339
90	0.5430580828
91	0.5427866535
92	0.5421280442
93	0.541789688
94	0.5413655934
95	0.5410341083
96	0.5405614432
97	0.5399308932
98	0.5396148116
99	0.5392722392
100	0.5389642229
101	0.5386342687
102	0.5381411255
103	0.5378023278
104	0.5374338024
105	0.5368211104
106	0.5363888938
107	0.5359723235
108	0.5356640415
109	0.5353552581
110	0.5348479981
111	0.5345632527
112	0.5342765307
113	0.5338845034
114	0.5336130849
115	0.5333485162
116	0.5328610601
117	0.5326219025
118	0.5322560598
119	0.5319895039
120	0.5316386589
121	0.5312852106
122	0.531061389
123	0.5307065736
124	0.5303753756
125	0.5301355514
126	0.529803381
127	0.5295127363
128	0.5291066235
129	0.5286645464
130	0.5284869529
131	0.5282255543
132	0.5279679333
133	0.5276630479
134	0.5274813523
135	0.5271175383
136	0.5267608706
137	0.5263563367
138	0.5260347423
139	0.5258560983
140	0.5257420062
141	0.525336351
142	0.5248949204
