iter	Passed	Remaining
0	3192	954594
1	6725	1002105
2	10464	1035954
3	13734	1016355
4	17480	1031335
5	20519	1005454
6	23436	980996
7	26432	964786
8	29033	938745
9	31613	916785
10	34404	903894
11	37153	891673
12	39739	877331
13	42617	870621
14	45532	865124
15	48881	867655
16	51620	859329
17	54584	855150
18	57455	849739
19	60138	841940
20	63180	839391
21	65989	833871
22	68673	827069
23	71830	826052
24	74897	823868
25	77659	818407
26	80454	813482
27	83308	809282
28	86107	804655
29	88626	797638
30	91135	790821
31	93850	786000
32	96792	783141
33	99528	778662
34	102530	776298
35	105768	775635
36	108613	772039
37	111365	767839
38	114005	762961
39	116975	760341
40	119960	757801
41	123085	756098
42	126015	753159
43	128585	748135
44	131792	746821
45	134700	743779
46	137454	739916
47	140560	737942
48	143315	734127
49	146490	732453
50	149174	728323
51	151875	724330
52	154940	722082
53	158020	719870
54	161126	717747
55	163900	714138
56	166968	711813
57	169788	708428
58	173082	707000
59	175951	703806
60	178644	699933
61	181518	696798
62	184394	693674
63	187385	690982
64	190565	688968
65	193868	687351
66	196958	684946
67	199853	681851
68	202547	678092
69	205925	676612
70	208943	673916
71	211791	670673
72	215283	669442
73	218542	667441
74	221694	665082
75	225442	664461
76	228750	662484
77	231851	659884
78	234944	657250
79	238379	655542
80	241705	653500
81	244628	650354
82	247572	647267
83	250351	643760
84	253616	641500
85	256650	638642
86	259166	634510
87	262327	631970
88	264861	627930
89	267825	624925
90	271112	622666
91	274401	620385
92	277250	617105
93	280720	615195
94	283699	612194
95	286548	608916
96	289859	606613
97	292673	603266
98	295857	600681
99	299593	599187
100	303283	597558
101	306422	594819
102	310316	593517
103	313390	590621
104	315918	586705
105	318784	583435
106	322053	580900
107	324885	577574
108	328769	576100
109	331981	573422
110	335930	571988
111	338886	568845
112	341528	565183
113	344453	562002
114	347201	558542
115	350075	555291
116	353499	552909
117	356803	550323
118	359605	546962
119	362335	543503
120	365208	540267
121	367702	536483
122	370790	533576
123	374030	530881
124	377378	528330
125	380838	525920
126	384373	523595
127	387481	520678
128	390947	518233
129	394049	515295
130	397136	512336
131	400152	509285
132	403957	507224
133	406918	504093
134	410387	501585
135	413562	498707
136	416460	495496
137	419433	492378
138	422165	488982
139	424887	485585
140	427990	482627
141	431075	479647
142	433829	476301
143	436393	472759
144	440176	470533
145	443325	467617
146	446128	464338
147	449164	461303
148	451952	458019
149	454861	454861
150	457949	451884
151	461148	449013
152	464548	446330
153	467257	442984
154	470956	440572
155	474383	437892
156	477684	435088
157	481070	432354
158	484295	429469
159	487728	426762
160	491204	424083
161	494341	421105
162	497328	417999
163	499938	414583
164	503065	411599
165	505912	408387
166	509289	405601
167	512153	402406
168	515322	399450
169	518696	396650
170	521689	393554
171	524857	390591
172	527803	387463
173	530485	384144
174	535026	382162
175	537673	378815
176	540655	375709
177	544406	373132
178	547359	370003
179	550217	366811
180	553486	363894
181	556195	360610
182	558731	357221
183	562679	354732
184	567179	352570
185	570459	349636
186	573775	346720
187	576942	343710
188	579890	340570
189	582672	337336
190	585511	334139
191	589526	331608
192	592595	328537
193	595596	325428
194	598501	322269
195	601590	319211
196	604371	315991
197	607394	312900
198	610562	309883
199	613717	306858
200	616455	303627
201	619895	300741
202	622554	297476
203	625481	294344
204	628532	291271
205	631840	288315
206	634390	285016
207	637464	281955
208	640373	278822
209	643818	275922
210	647036	272920
211	649988	269806
212	653375	266871
213	656178	263697
214	658972	260524
215	661879	257397
216	664909	254320
217	668176	251332
218	670902	248141
219	674066	245114
220	677266	242099
221	680484	239089
222	683674	236067
223	686771	233011
224	690251	230083
225	693553	227092
226	696708	224051
227	699390	220860
228	702166	217702
229	705140	214607
230	707918	211456
231	710712	208312
232	714098	205341
233	717439	202354
234	720632	199323
235	723435	196185
236	725986	192983
237	729260	189975
238	732820	187037
239	735784	183946
240	738901	180892
241	742289	177904
242	745471	174863
243	748251	171729
244	751301	168659
245	754570	165637
246	757476	162535
247	760663	159493
248	763636	156407
249	767119	153423
250	769923	150303
251	772710	147182
252	776007	144159
253	779662	141198
254	782683	138120
255	786091	135109
256	790230	132217
257	792751	129052
258	795654	125952
259	798348	122822
260	801226	119723
261	802871	116447
262	806942	113524
263	810714	110551
264	813417	107432
265	816466	104360
266	820147	101366
267	822832	98248
268	826000	95189
269	829356	92150
270	832815	89120
271	835597	86017
272	839080	82985
273	841970	79894
274	844758	76796
275	847999	73739
276	851216	70678
277	854656	67634
278	857588	64549
279	860295	61449
280	863332	58374
281	866822	55329
282	870033	52263
283	873134	49190
284	877465	46182
285	880364	43094
286	883399	40014
287	886482	36936
288	890054	33877
289	893250	30801
290	896252	27719
291	899372	24640
292	904278	21603
293	907259	18515
294	910431	15431
295	913527	12344
296	916657	9259
297	919872	6173
298	922956	3086
299	926127	0
